dataset,algorithm,clusterer,feature,metric,seeds,n,mean,std
enron,EgoNet-APM-W1,APM,W1,ego_cluster_conductance_p50,1 2 3 4 5,5.0,0.2,0.0
enron,EgoNet-APM-W1,APM,W1,ego_cluster_conductance_p75,1 2 3 4 5,5.0,0.6556829391791532,0.0021240289487507824
enron,EgoNet-APM-W1,APM,W1,ego_cluster_conductance_p90,1 2 3 4 5,5.0,0.8181818181818182,0.0
enron,EgoNet-APM-W2,APM,W2,runtime_sec,1 2 3 4 5,5.0,6.218592716613784,0.23251874173776513
enron,EgoNet-APM-W2,APM,W2,auc,1 2 3 4 5,5.0,0.9339003,0.003915611871087348
enron,EgoNet-APM-W2,APM,W2,average_precision,1 2 3 4 5,5.0,0.9337567246892776,0.0037494612567214505
enron,EgoNet-APM-W2,APM,W2,ego_cluster_count,1 2 3 4 5,5.0,53570.0,43.45687517528153
enron,EgoNet-APM-W2,APM,W2,ego_cluster_mean_size,1 2 3 4 5,5.0,6.298087988512448,0.00504893685989694
enron,EgoNet-APM-W2,APM,W2,ego_cluster_mean_density,1 2 3 4 5,5.0,0.8313134143295944,0.0005280514743246012
enron,EgoNet-APM-W2,APM,W2,ego_cluster_density_p10,1 2 3 4 5,5.0,0.5,0.0
enron,EgoNet-APM-W2,APM,W2,ego_cluster_density_p25,1 2 3 4 5,5.0,0.6666666666666666,0.0
enron,EgoNet-APM-W2,APM,W2,ego_cluster_density_p50,1 2 3 4 5,5.0,1.0,0.0
enron,EgoNet-APM-W2,APM,W2,ego_cluster_density_p75,1 2 3 4 5,5.0,1.0,0.0
enron,EgoNet-APM-W2,APM,W2,ego_cluster_density_p90,1 2 3 4 5,5.0,1.0,0.0
enron,EgoNet-APM-W2,APM,W2,ego_cluster_mean_conductance,1 2 3 4 5,5.0,0.3186267439231707,0.00038382240978199645
enron,EgoNet-APM-W2,APM,W2,ego_cluster_conductance_p10,1 2 3 4 5,5.0,0.0,0.0
enron,EgoNet-APM-W2,APM,W2,ego_cluster_conductance_p25,1 2 3 4 5,5.0,0.0,0.0
enron,EgoNet-APM-W2,APM,W2,ego_cluster_conductance_p50,1 2 3 4 5,5.0,0.2,0.0
enron,EgoNet-APM-W2,APM,W2,ego_cluster_conductance_p75,1 2 3 4 5,5.0,0.6556829391791532,0.0021240289487507824
enron,EgoNet-APM-W2,APM,W2,ego_cluster_conductance_p90,1 2 3 4 5,5.0,0.8181818181818182,0.0
enron,EgoNet-APM-W3,APM,W3,runtime_sec,1 2 3 4 5,5.0,6.218592716613784,0.23251874173776513
enron,EgoNet-APM-W3,APM,W3,auc,1 2 3 4 5,5.0,0.9333453,0.004042024594803943
enron,EgoNet-APM-W3,APM,W3,average_precision,1 2 3 4 5,5.0,0.9331110281092748,0.003928624043711584
enron,EgoNet-APM-W3,APM,W3,ego_cluster_count,1 2 3 4 5,5.0,53570.0,43.45687517528153
enron,EgoNet-APM-W3,APM,W3,ego_cluster_mean_size,1 2 3 4 5,5.0,6.298087988512448,0.00504893685989694
enron,EgoNet-APM-W3,APM,W3,ego_cluster_mean_density,1 2 3 4 5,5.0,0.8313134143295944,0.0005280514743246012
enron,EgoNet-APM-W3,APM,W3,ego_cluster_density_p10,1 2 3 4 5,5.0,0.5,0.0
enron,EgoNet-APM-W3,APM,W3,ego_cluster_density_p25,1 2 3 4 5,5.0,0.6666666666666666,0.0
enron,EgoNet-APM-W3,APM,W3,ego_cluster_density_p50,1 2 3 4 5,5.0,1.0,0.0
enron,EgoNet-APM-W3,APM,W3,ego_cluster_density_p75,1 2 3 4 5,5.0,1.0,0.0
enron,EgoNet-APM-W3,APM,W3,ego_cluster_density_p90,1 2 3 4 5,5.0,1.0,0.0
enron,EgoNet-APM-W3,APM,W3,ego_cluster_mean_conductance,1 2 3 4 5,5.0,0.3186267439231707,0.00038382240978199645
enron,EgoNet-APM-W3,APM,W3,ego_cluster_conductance_p10,1 2 3 4 5,5.0,0.0,0.0
enron,EgoNet-APM-W3,APM,W3,ego_cluster_conductance_p25,1 2 3 4 5,5.0,0.0,0.0
enron,EgoNet-APM-W3,APM,W3,ego_cluster_conductance_p50,1 2 3 4 5,5.0,0.2,0.0
enron,EgoNet-APM-W3,APM,W3,ego_cluster_conductance_p75,1 2 3 4 5,5.0,0.6556829391791532,0.0021240289487507824
enron,EgoNet-APM-W3,APM,W3,ego_cluster_conductance_p90,1 2 3 4 5,5.0,0.8181818181818182,0.0
enron,EgoNet-APM-W4,APM,W4,runtime_sec,1 2 3 4 5,5.0,6.218592716613784,0.23251874173776513
enron,EgoNet-APM-W4,APM,W4,auc,1 2 3 4 5,5.0,0.9339577,0.0039715739417767034
enron,EgoNet-APM-W4,APM,W4,average_precision,1 2 3 4 5,5.0,0.9338477547278803,0.003839438074219106
enron,EgoNet-APM-W4,APM,W4,ego_cluster_count,1 2 3 4 5,5.0,53570.0,43.45687517528153
enron,EgoNet-APM-W4,APM,W4,ego_cluster_mean_size,1 2 3 4 5,5.0,6.298087988512448,0.00504893685989694
enron,EgoNet-APM-W4,APM,W4,ego_cluster_mean_density,1 2 3 4 5,5.0,0.8313134143295944,0.0005280514743246012
enron,EgoNet-APM-W4,APM,W4,ego_cluster_density_p10,1 2 3 4 5,5.0,0.5,0.0
enron,EgoNet-APM-W4,APM,W4,ego_cluster_density_p25,1 2 3 4 5,5.0,0.6666666666666666,0.0
enron,EgoNet-APM-W4,APM,W4,ego_cluster_density_p50,1 2 3 4 5,5.0,1.0,0.0
enron,EgoNet-APM-W4,APM,W4,ego_cluster_density_p75,1 2 3 4 5,5.0,1.0,0.0
enron,EgoNet-APM-W4,APM,W4,ego_cluster_density_p90,1 2 3 4 5,5.0,1.0,0.0
enron,EgoNet-APM-W4,APM,W4,ego_cluster_mean_conductance,1 2 3 4 5,5.0,0.3186267439231707,0.00038382240978199645
enron,EgoNet-APM-W4,APM,W4,ego_cluster_conductance_p10,1 2 3 4 5,5.0,0.0,0.0
enron,EgoNet-APM-W4,APM,W4,ego_cluster_conductance_p25,1 2 3 4 5,5.0,0.0,0.0
enron,EgoNet-APM-W4,APM,W4,ego_cluster_conductance_p50,1 2 3 4 5,5.0,0.2,0.0
enron,EgoNet-APM-W4,APM,W4,ego_cluster_conductance_p75,1 2 3 4 5,5.0,0.6556829391791532,0.0021240289487507824
enron,EgoNet-APM-W4,APM,W4,ego_cluster_conductance_p90,1 2 3 4 5,5.0,0.8181818181818182,0.0
enron,EgoNet-CC-W1,CC,W1,runtime_sec,1 2 3 4 5,5.0,1.8083369502797724,0.07029656780250375
